"date","venue"
"February 3, 1968","South Oregon College Gym"
"February 3, 1968","Crystal Ballroom"
"February 14, 1968","Carousel Ballroom"
"February 17, 1968","Selland Arena"
"February 22, 1968","King""s Beach Bowl"
"February 23, 1968","King""s Beach Bowl"
"February 24, 1968","King""s Beach Bowl"
"March 1, 1968","1300 Boulevard Way"
"March 2, 1968","1300 Boulevard Way"
"March 3, 1968","Haight Street"
"March 7, 1968","San Quentin State Prison"
"March 11, 1968","Sacramento Memorial Auditorium"
"March 15, 1968","Carousel Ballroom"
"March 15, 1968","Carousel Ballroom"
"March 17, 1968","Carousel Ballroom"
"March 20, 1968","Avalon Ballroom"
"March 22, 1968","State Fair Coliseum"
"March 23, 1968","State Fair Coliseum"
"March 26, 1968","MelodyLand Theater"
"March 26, 1968","Carousel Ballroom"
"August 18, 1967","Carousel Ballroom"
"August 25, 1967","Carousel Ballroom"
"August 28, 1967","Carousel Ballroom"
"August 28, 1967","Carousel Ballroom"
"September 3, 1967","Carousel Ballroom"
"September 4, 1967","Carousel Ballroom"
"September 8, 1967","Fillmore East"
"September 9, 1967","Fillmore East"
"September 9, 1967","Fillmore East"
"September 15, 1967","Fillmore East"
"September 16, 1967","Carousel Ballroom"
"September 22, 1967","National Guard Armory"
"September 23, 1967","Shrine Exhibition Hall"
"September 24, 1967","King""s Beach Bowl"
"September 28, 1967","King""s Beach Bowl"
"September 30, 1967","The Hippodrome"
"October 1, 1967","The Hippodrome"
"October 14, 1967","Orange County Fairgrounds"
"October 31, 1967","Fillmore West"
"November 10, 1967","Fillmore West"
"November 11, 1967","Shrine Exhibition Hall"
"November 12, 1967","Winterland Arena"
"November 12, 1967","Winterland Arena"
"December 13, 1967","Shrine Exhibition Hall"
"December 22, 1967","Palm Gardens"
"December 23, 1967","Palm Gardens"
"December 24, 1967","Palm Gardens"
"December 26, 1967","Village Theater"
"December 27, 1967","Village Theater"
"December 29, 1967","Psychedelic Supermarket"
"December 30, 1967","Psychedelic Supermarket"
"January 14, 1968","Bakersfield Memorial Auditorium"
"January 16, 1968","Carousel Ballroom"
"January 20, 1968","Eureka Municipal Auditorium"
"January 22, 1968","Eagles Auditorium"
"January 26, 1968","Eagles Auditorium"
"January 27, 1968","Eagles Auditorium"
"January 29, 1968","Portland State College"
"January 30, 1968","Erb Memorial Union"
"February 2, 1968","Crystal Ballroom"
"May 30, 1968","American Legion Hall"
"May 31, 1968","King""s Beach Bowl"
"June 1, 1968","Lindley Meadows"
"June 7, 1968","King""s Beach Bowl"
"June 8, 1968","Dance Hall"
"June 9, 1968","Dance Hall"
"June 14, 1968","Eagle""s Auditorium"
"June 14, 1968","Volunteer Park"
"June 15, 1968","Eagles Auditorium"
"June 15, 1968","Hollywood Bowl"
"June 19, 1968","Griffith Park"
"June 24, 1968","Family Dog"
"July 11, 1968","Family Dog"
"July 12, 1968","City Park"
"July 13, 1968","Straight Theater"
"August 2, 1968","Straight Theater"
"August 3, 1968","Greek Theatre"
"August 4, 1968","Continental Ballroom"
"August 19, 1968","Winterland Arena"
"August 20, 1968","Shrine Exhibition Hall"
"March 30, 1968","Carousel Ballroom"
"March 31, 1968","Carousel Ballroom"
"April 3, 1968","Winterland Arena"
"April 19, 1968","Thee Image"
"April 20, 1968","Thee Image"
"April 21, 1968","Thee Image"
"April 26, 1968","Electric Factory"
"April 27, 1968","Electric Factory"
"April 28, 1968","Electric Factory"
"May 3, 1968","Low Library Plaza"
"May 4, 1968","Central Park"
"May 7, 1968","Electric Circus"
"May 8, 1968","Electric Circus"
"May 9, 1968","Electric Circus"
"May 11, 1968","The Dome"
"May 17, 1968","Shrine Exhibition Hall"
"May 18, 1968","Shrine Exhibition Hall"
"May 18, 1968","Santa Clara County Fairgrounds"
"May 23, 1968","National Guard Armory"
"May 24, 1968","National Guard Armory"
"August 21, 1968","Fillmore West"
"August 23, 1968","Shrine Exhibition Hall"
"August 24, 1968","Shrine Exhibition Hall"
"August 28, 1968","Avalon Ballroom"
"August 30, 1968","Fillmore West"
"August 31, 1968","Fillmore West"
"September 1, 1968","Palace of Fine Arts Theatre"
"September 1, 1968","Fillmore West"
"September 2, 1968","Betty Nelson""s Organic Raspberry Farm"
"September 20, 1968","Berkeley Community Theatre"
"September 22, 1968","Del Mar Fairgrounds"
"October 5, 1968","Sacramento Memorial Auditorium"
"October 8, 1968","The Matrix"
"October 9, 1968","The Matrix"
"October 10, 1968","The Matrix"
"October 11, 1968","Avalon Ballroom"
"October 12, 1968","Avalon Ballroom"
"October 13, 1968","Avalon Ballroom"
"October 18, 1968","The Bank"
"October 20, 1968","Greek Theatre"
"October 29, 1968","The Matrix"
"October 29, 1968","Shrine Exhibition Hall"
"October 31, 1968","Shrine Exhibition Hall"
"November 1, 1968","Houston"
"November 4, 1968","Gulfstream Park Racetrack"
"November 7, 1968","Winterland Arena"
"November 8, 1968","Fillmore West"
"November 9, 1968","Fillmore West"
"November 10, 1968","Fillmore West"
"November 17, 1968","Robertson Gym"
"November 21, 1968","Avalon Ballroom"
"November 23, 1968","Avalon Ballroom"
"November 24, 1968","The Kinetic Playground"
"November 27, 1968","The Kinetic Playground"
"November 28, 1968","Labor Temple"
"December 1, 1968","The Music Box"
"December 6, 1968","Kiel Auditorium"
"December 7, 1968","Stanley Theatre"
"December 13, 1968","Stanley Theatre"
"December 14, 1968","The Lyric Theater"
"February 9, 1969","The Lyric Theater"
"February 11, 1969","Fillmore East"
"February 11, 1969","Fillmore East"
"February 12, 1969","Fillmore East"
"February 12, 1969","Fillmore East"
"February 14, 1969","Electric Factory"
"February 14, 1969","Electric Factory"
"February 19, 1969","Fillmore West"
"February 21, 1969","Dream Bowl"
"February 22, 1969","Dream Bowl"
"February 26, 1969","The Matrix"
"February 27, 1969","Fillmore West"
"February 28, 1969","Fillmore West"
"March 1, 1969","Fillmore West"
"March 2, 1969","Fillmore West"
"March 12, 1969","Fillmore West"
"March 15, 1969","Hilton Hotel"
"March 21, 1969","Rose Palace"
"March 22, 1969","Rose Palace"
"March 27, 1969","Merced"
"December 16, 1968","The Matrix"
"December 19, 1968","The Matrix"
"December 21, 1968","The Matrix"
"December 28, 1968","Silver Dollar Fairgrounds"
"December 29, 1968","Longshoreman""s Hall"
"December 31, 1968","Fillmore West"
"January 2, 1969","Fillmore West"
"January 4, 1969","Fillmore West"
"January 5, 1969","Fillmore West"
"January 17, 1969","Eagle""s Auditorium"
"January 25, 1969","Veterans Hall"
"January 26, 1969","Memorial Auditorium"
"January 31, 1969","Hyde Park Teen Center"
"February 1, 1969","The Kinetic Playground"
"February 2, 1969","The Kinetic Playground"
"February 5, 1969","Grande Ballroom"
"February 6, 1969","The Spectrum"
"February 7, 1969","Bellarmine College"
"February 7, 1969","The Bank"
"February 9, 1969","The Bank"
"May 2, 1969","Student Center"
"May 3, 1969","Ice Palace"
"May 3, 1969","Fillmore West"
"May 7, 1969","Avalon Ballroom"
"May 8, 1969","Avalon Ballroom"
"May 9, 1969","Avalon Ballroom"
"May 10, 1969","University Auditorium"
"May 11, 1969","Student Union Ballroom"
"May 16, 1969","Ballroom"
"May 23, 1969","The Music Box"
"May 24, 1969","Washington University"
"May 28, 1969","Memorial Union Ballroom"
"May 29, 1969","Atwood Hall"
"May 30, 1969","The Ark"
"May 31, 1969","The Ark"
"June 5, 1969","The Ark"
"June 6, 1969","Avalon Ballroom"
"June 7, 1969","Electric Theater"
"June 8, 1969","Electric Theater"
"June 11, 1969","Labor Temple"
"March 28, 1969","Winterland Arena"
"March 29, 1969","Winterland Arena"
"April 3, 1969","Sierra College"
"April 4, 1969","Polo Field"
"April 4, 1969","Unknown Location"
"April 6, 1969","Hall Of Flowers"
"April 11, 1969","Rose Palace"
"April 12, 1969","Aztec Bowl"
"April 13, 1969","Campolindo High School"
"April 15, 1969","Seminole Indian Village"
"April 17, 1969","Seminole Indian Village"
"April 18, 1969","Winterland Arena"
"April 20, 1969","Robertson Gym"
"April 21, 1969","Springer""s Inn"
"April 22, 1969","McArthur Court"
"April 23, 1969","Fillmore West"
"April 24, 1969","Fillmore West"
"April 25, 1969","Fillmore West"
"April 26, 1969","Fillmore West"
"April 27, 1969","California Hall"
"June 13, 1969","Fresno Convention Center"
"June 14, 1969","Monterey Peninsula College"
"June 20, 1969","Fillmore East"
"June 20, 1969","Fillmore East"
"June 21, 1969","Fillmore East"
"June 21, 1969","Central Park"
"June 27, 1969","Veterans Auditorium"
"June 28, 1969","Veterans Auditorium"
"June 29, 1969","The Barn"
"July 3, 1969","Reed""s Ranch"
"July 4, 1969","Electric Theater"
"July 5, 1969","Electric Theater"
"July 7, 1969","Piedmont Park"
"July 8, 1969","Rock Pile"
"July 8, 1969","Rock Pile"
"July 10, 1969","Gallagher Estate"
"July 11, 1969","NY State Pavilion"
"July 12, 1969","NY State Pavilion"
"July 16, 1969","Longshoreman""s Hall"
"August 2, 1969","Family Dog at the Great Highway"
"August 3, 1969","Café au Go Go"
"August 16, 1969","Boston Tea Party"
"August 21, 1969","Boston Tea Party"
"August 23, 1969","Sam Houston Coliseum"
"August 24, 1969","Boston Tea Party"
"August 28, 1969","Family Dog at the Great Highway"
"August 29, 1969","San Jose, Ca."
"August 30, 1969","Winterland Arena"
"September 1, 1969","Winterland Arena"
"September 6, 1969","Winterland Arena"
"September 7, 1969","San Jose State University"
"September 26, 1969","Family Dog at the Great Highway"
"September 26, 1969","Family Dog at the Great Highway"
"September 27, 1969","Fillmore Auditorium"
"September 27, 1969","Fillmore Auditorium"
"September 28, 1969","Lanai Theater"
"September 29, 1969","Building A"
"September 29, 1969","Fillmore West"
"September 30, 1969","Fillmore West"
"October 1, 1969","Fillmore West"
"October 1, 1969","Family Dog at the Great Highway"
"October 2, 1969","Max Yasgur""s Farm"
"October 3, 1969","Green Lake Aqua Theatre"
"October 4, 1969","Pelletier Farm"
"October 4, 1969","Paradise Valley Resort"
"October 6, 1969","Family Dog at the Great Highway"
"October 17, 1969","Family Dog at the Great Highway"
"October 23, 1969","Family Dog at the Great Highway"
"October 25, 1969","Baton Rouge Int. Speedway"
"October 26, 1969","Family Dog at the Great Highway"
"October 31, 1969","Family Dog at the Great Highway"
"November 1, 1969","Fillmore East"
"November 2, 1969","Fillmore East"
"November 7, 1969","Fillmore East"
"November 8, 1969","Fillmore East"
"November 14, 1969","Café au Go Go"
"November 21, 1969","Café au Go Go"
"December 4, 1969","Café au Go Go"
"December 5, 1969","Café au Go Go"
"December 7, 1969","Café au Go Go"
"December 10, 1969","Honolulu Civic Auditorium"
"December 11, 1969","Honolulu Civic Auditorium"
"December 12, 1969","The Warehouse"
"December 13, 1969","The Warehouse"
"December 19, 1969","The Warehouse"
"December 20, 1969","Fox Theatre"
"December 21, 1969","Family Dog at the Great Highway"
"December 26, 1969","Fillmore West"
"December 27, 1969","Fillmore West"
"December 28, 1969","Fillmore West"
"December 29, 1969","Fillmore West"
"December 30, 1969","Fillmore East"
"January 2, 1970","Fillmore East"
"January 2, 1970","Ungano""s Night Club"
"January 3, 1970","Fillmore East"
"January 10, 1970","Fillmore East"
"January 16, 1970","Fillmore East"
"January 17, 1970","Fillmore East"
"January 18, 1970","Panther Hall"
"January 22, 1970","San Antonio Civic Center Arena"
"January 23, 1970","Thelma Theater"
"January 24, 1970","Thelma Theater"
"January 30, 1970","Thelma Theater"
"January 31, 1970","Swing Auditorium"
"February 1, 1970","Fillmore Auditorium"
"February 2, 1970","Fillmore Auditorium"
"February 4, 1970","Fillmore Auditorium"
"February 5, 1970","McFarlin Auditorium"
"February 6, 1970","International Speedway"
"February 7, 1970","Boston Tea Party"
"February 8, 1970","Boston Tea Party"
"February 11, 1970","Boston Tea Party"
"February 11, 1970","Fillmore East"
"February 12, 1970","Fillmore East"
"February 13, 1970","Fillmore East"
"February 13, 1970","Golden Hall"
"February 14, 1970","Springer""s Inn"
"February 14, 1970","Oregon State University"
"February 20, 1970","Springer""s Inn"
"February 21, 1970","Honolulu Civic Auditorium"
"February 22, 1970","Sam Houston Coliseum"
"February 23, 1970","The Auditorium"
"February 27, 1970","Family Dog at the Great Highway"
"February 28, 1970","Family Dog at the Great Highway"
"March 1, 1970","Family Dog at the Great Highway"
"March 7, 1970","Santa Monica Civic Auditorium"
"March 8, 1970","Star Theatre"
"March 17, 1970","Kleinhans Music Hall"
"March 20, 1970","Capitol Theater"
"March 20, 1970","Capitol Theater"
"March 21, 1970","Capitol Theater"
"March 21, 1970","Capitol Theater"
"March 24, 1970","Pirates World"
"April 3, 1970","Field House"
"April 4, 1970","Field House"
"April 9, 1970","Fillmore West"
"April 10, 1970","Fillmore West"
"April 11, 1970","Fillmore West"
"April 12, 1970","Fillmore West"
"April 15, 1970","Winterland Arena"
"April 17, 1970","Family Dog at the Great Highway"
"April 18, 1970","Family Dog at the Great Highway"
"April 19, 1970","Family Dog at the Great Highway"
"April 24, 1970","Mammoth Gardens"
"April 25, 1970","Mammoth Gardens"
"April 26, 1970","York Farm"
"May 1, 1970","Alfred College"
"May 2, 1970","Harpur College"
"May 3, 1970","Field House"
"May 6, 1970","Kresge Plaza"
"May 7, 1970","Dupont Gymnasium"
"May 8, 1970","Farrell Hall"
"May 9, 1970","Worcester Polytechnic Institute"
"May 10, 1970","Atlanta Sports Arena"
"May 14, 1970","Meramec Community College"
"May 15, 1970","Fillmore East"
"May 15, 1970","Fillmore East"
"May 16, 1970","Temple University"
"May 17, 1970","Fairfield University"
"May 24, 1970","Newcastle-Under-Lyme"
"July 12, 1970","The Strand Lyceum"
"July 14, 1970","Fillmore West"
"July 16, 1970","Fillmore West"
"July 30, 1970","Fillmore West"
"August 5, 1970","Fillmore West"
"August 17, 1970","Honolulu Civic Auditorium"
"August 18, 1970","Honolulu Civic Auditorium"
"August 19, 1970","Mid-South Coliseum"
"August 28, 1970","Pauley Ballroom"
"August 29, 1970","Fillmore East"
"August 30, 1970","Capitol Theater"
"September 17, 1970","Capitol Theater"
"September 18, 1970","Canadian National Exhibition Hall"
"September 19, 1970","Coronation Park"
"September 20, 1970","Winnipeg Fairgrounds"
"September 25, 1970","McMahon Stadium"
"September 26, 1970","Mississippi River Festival"
"October 4, 1970","Fillmore East"
"October 5, 1970","Fillmore East"
"October 10, 1970","Fillmore East"
"May 25, 1970","Fillmore East"
"June 4, 1970","Euphoria Ballroom"
"June 5, 1970","Euphoria Ballroom"
"June 6, 1970","The Matrix"
"June 7, 1970","Golden Hall"
"June 12, 1970","Fillmore West"
"June 13, 1970","Fillmore West"
"June 19, 1970","Fillmore West"
"June 21, 1970","The Club"
"June 21, 1970","The Club"
"June 24, 1970","KQED Studios"
"June 24, 1970","Fillmore East"
"June 27, 1970","Fillmore East"
"June 28, 1970","Fillmore East"
"July 1, 1970","Fillmore East"
"July 3, 1970","Pasadena Civic Auditorium"
"July 8, 1970","Terrace Ballroom"
"July 9, 1970","Winterland Arena"
"July 10, 1970","Winterland Arena"
"July 11, 1970","Colden Auditorium"
"October 11, 1970","Marion Shea Aud."
"October 16, 1970","Irvine Auditorium"
"October 17, 1970","Cleveland Music Hall"
"October 18, 1970","Tyrone Guthrie Theatre"
"October 18, 1970","Tyrone Guthrie Theatre"
"October 23, 1970","McDonough Arena"
"October 24, 1970","Kiel Opera House"
"October 30, 1970","SUNY Gym"
"October 30, 1970","SUNY Gym"
"October 31, 1970","SUNY Gym"
"October 31, 1970","SUNY Gym"
"November 5, 1970","Capitol Theater"
"November 6, 1970","Capitol Theater"
"November 7, 1970","Capitol Theater"
"November 8, 1970","Capitol Theater"
"November 9, 1970","Action House"
"November 10, 1970","Action House"
"November 11, 1970","46th Street Rock Palace"
"November 12, 1970","46th Street Rock Palace"
"November 13, 1970","46th Street Rock Palace"
"November 14, 1970","46th Street Rock Palace"
"November 16, 1970","Fillmore East"
"November 20, 1970","The Palestra"
"November 21, 1970","Sargent Gym"
"November 22, 1970","Middlesex County Community College"
"November 23, 1970","Anderson Theater"
"November 27, 1970","The Syndrome"
"November 29, 1970","Club Agora"
"December 12, 1970","Santa Rosa Fairgrounds"
"December 22, 1970","Sacramento Memorial Auditorium"
"December 23, 1970","Winterland Arena"
"December 26, 1970","Legion Stadium"
"December 27, 1970","Legion Stadium"
"December 28, 1970","Legion Stadium"
"December 31, 1970","Winterland Arena"
"January 21, 1971","Freeborn Hall"
"January 22, 1971","Lane Community College"
"January 24, 1971","Seattle Center Coliseum"
"February 18, 1971","Capitol Theater"
"February 19, 1971","Capitol Theater"
"February 20, 1971","Capitol Theater"
"February 21, 1971","Capitol Theater"
"February 23, 1971","Capitol Theater"
"February 24, 1971","Capitol Theater"
"March 3, 1971","The Syndrome"
"March 5, 1971","Fillmore West"
"March 13, 1971","Jenison Field House"
"March 14, 1971","Camp Randall Field House"
"March 17, 1971","Fox Theatre"
"March 18, 1971","Fox Theatre"
"March 20, 1971","Fieldhouse"
"March 21, 1971","Exposition Center"
"March 24, 1971","Winterland Arena"
"April 4, 1971","Manhattan Center"
"April 5, 1971","Manhattan Center"
"April 6, 1971","Manhattan Center"
"April 7, 1971","Boston Music Hall"
"April 13, 1971","Catholic Youth Center"
"April 14, 1971","Bucknell University"
"April 15, 1971","Allegheny College"
"April 17, 1971","Berkeley Community Theatre"
"April 18, 1971","Auditorium Theater"
"April 21, 1971","Auditorium Theater"
"April 22, 1971","Gaelic Park"
"April 24, 1971","Northrop Auditorium"
"April 25, 1971","Auditorium Theater"
"April 26, 1971","Auditorium Theater"
"April 27, 1971","Easttown Theatre"
"April 28, 1971","Easttown Theatre"
"April 29, 1971","The Palestra"
"May 29, 1971","Onondaga County War Memorial"
"May 30, 1971","Allan Theater"
"June 21, 1971","Taft Auditorium"
"July 2, 1971","Ohio Theatre"
"July 31, 1971","Harding Theater"
"August 4, 1971","Harding Theater"
"August 5, 1971","Atlanta Municipal Auditorium"
"August 6, 1971","San Antonio Civic Auditorium"
"August 7, 1971","Texas Christian University"
"August 14, 1971","Austin Municipal Auditorium"
"August 15, 1971","Dillon Gym"
"August 23, 1971","Lusk Field House"
"August 24, 1971","Rhode Island Auditorium"
"August 26, 1971","Bangor Municipal Auditorium"
"October 19, 1971","Wallace Wade Stadium"
"October 21, 1971","Fillmore East"
"October 22, 1971","Fillmore East"
"October 23, 1971","Fillmore East"
"October 24, 1971","Fillmore East"
"October 26, 1971","Fillmore East"
"October 27, 1971","Winterland Arena"
"October 29, 1971","Winterland Arena"
"October 30, 1971","Chateau d""Herouville"
"October 31, 1971","Fillmore West"
"November 6, 1971","Yale Bowl"
"November 7, 1971","Terminal Island Correctional Fac."
"November 11, 1971","Hollywood Palladium"
"November 12, 1971","Hollywood Palladium"
"November 14, 1971","Golden Hall"
"November 15, 1971","Berkeley Community Theatre"
"March 27, 1972","Academy of Music"
"March 28, 1972","Academy of Music"
"April 4, 1972","Winterland Arena"
"April 7, 1972","Wembley Empire Pool"
"April 8, 1972","Wembley Empire Pool"
"April 11, 1972","City Hall"
"April 14, 1972","Tivoli Concert Hall"
"April 16, 1972","Aarhus University"
"April 17, 1972","Tivoli Concert Hall"
"April 21, 1972","Beat Club"
"April 24, 1972","Rheinhalle"
"April 26, 1972","Jahrhundert Halle"
"April 29, 1972","Musikhalle"
"May 3, 1972","Olympia Theater"
"May 4, 1972","Olympia Theater"
"May 7, 1972","Bickershaw Festival"
"May 10, 1972","Concertgebouw"
"May 11, 1972","Rotterdam Civic Hall"
"May 13, 1972","Lille Fairgrounds"
"May 16, 1972","Radio Luxembourg"
"November 17, 1971","Albuquerque Civic Auditorium"
"November 20, 1971","Pauley Pavilion"
"December 1, 1971","Boston Music Hall"
"December 2, 1971","Boston Music Hall"
"December 4, 1971","Felt Forum"
"December 5, 1971","Felt Forum"
"December 6, 1971","Felt Forum"
"December 7, 1971","Felt Forum"
"December 9, 1971","Fox Theatre"
"December 10, 1971","Fox Theatre"
"December 14, 1971","Hill Auditorium"
"December 15, 1971","Hill Auditorium"
"December 31, 1971","Winterland Arena"
"January 2, 1972","Winterland Arena"
"March 5, 1972","Winterland Arena"
"March 21, 1972","Academy of Music"
"March 22, 1972","Academy of Music"
"March 23, 1972","Academy of Music"
"March 25, 1972","Academy of Music"
"March 26, 1972","Academy of Music"
"May 18, 1972","Kongressaal"
"May 23, 1972","The Strand Lyceum"
"May 24, 1972","The Strand Lyceum"
"May 25, 1972","The Strand Lyceum"
"May 26, 1972","The Strand Lyceum"
"June 17, 1972","Hollywood Bowl"
"July 16, 1972","Dillon Stadium"
"July 18, 1972","Roosevelt Stadium"
"July 21, 1972","Paramount Northwest Theatre"
"July 22, 1972","Paramount Northwest Theatre"
"July 25, 1972","Paramount Theater"
"July 26, 1972","Paramount Theater"
"August 12, 1972","Sacramento Memorial Auditorium"
"August 20, 1972","San Jose Civic Auditorium"
"August 21, 1972","Berkeley Community Theatre"
"August 22, 1972","Berkeley Community Theatre"
"August 24, 1972","Berkeley Community Theatre"
"August 25, 1972","Berkeley Community Theatre"
"August 27, 1972","Old Renaissance Faire Grounds"
